id_manga,Titulo,id_ano,Puntaje,URL,Portada,Volumen_inicio,Volumen_fin,Precio
46,Kingdom,4,4.92,https://www.mangazenkan.com/items/87/,img/portadas/001_キングダム.jpg,1,1,1045.0
47,My Hero Academia (Boku no Hero Academia),4,4.63,https://www.mangazenkan.com/items/10221277/,img/portadas/003_僕のヒーローアカデミア.jpg,1,8,4136.0
48,El Karma de los Malos (Zenaku no Kuzu),4,4.33,https://www.mangazenkan.com/items/10197550/,img/portadas/004_善悪の屑.jpg,1,15,9988.0
49,Haikyuu!!,4,4.85,https://www.mangazenkan.com/items/102246/,img/portadas/005_ハイキュー.jpg,1,13,11700.0
50,Caja de colección To-y 30th Anniversary,4,0.0,https://www.mangazenkan.com/items/10361442/,img/portadas/006_上條淳士先生描き下ろしToy 30th Anniversary Edition収納ボックス.jpg,1,1,3960.0
51,One Punch Man,4,4.43,https://www.mangazenkan.com/items/10051811/,img/portadas/007_ワンパンマン.jpg,1,37,17908.0
52,Erased (Boku dake ga Inai Machi),4,4.11,https://www.mangazenkan.com/items/10057059/,img/portadas/008_僕だけがいない街.jpg,1,11,7502.0
53,Your Lie in April (Shigatsu wa Kimi no Uso),4,4.57,https://www.mangazenkan.com/items/90804/,img/portadas/009_四月は君の嘘.jpg,1,5,2882.0
54,DAYS,4,3.5,https://www.mangazenkan.com/items/10088535/,img/portadas/010_DAYS デイズ.jpg,1,14,7700.0
55,Colección Completa de Manga de Shigeru Mizuki,4,0.0,https://www.mangazenkan.com/items/10340327/,img/portadas/011_水木しげる漫画大全集.jpg,1,32,20811.0
56,Tokyo Ghoul,4,4.38,https://www.mangazenkan.com/items/98012/,img/portadas/012_東京喰種トーキョーグール.jpg,1,12,9262.0
57,El amor es como el trabajo pero da frutos,4,4.67,https://www.mangazenkan.com/items/10082851/,img/portadas/013_逃げるは恥だが役に立つ.jpg,1,1,1045.0
58,Mob Psycho 100,4,4.4,https://www.mangazenkan.com/items/106806/,img/portadas/014_モブサイコ100.jpg,1,16,11495.0
59,Slam Dunk,4,4.89,https://www.mangazenkan.com/items/167/,img/portadas/015_スラムダンクSLAMDUNK.jpg,1,1,1980.0
60,Chihayafuru,4,4.56,https://www.mangazenkan.com/items/3656/,img/portadas/016_ちはやふる.jpg,1,50,27500.0
61,Kingdom,5,4.92,https://www.mangazenkan.com/items/87/,img/portadas/001_キングダム.jpg,1,1,1045.0
62,My Hero Academia (Boku no Hero Academia),5,4.63,https://www.mangazenkan.com/items/10221277/,img/portadas/003_僕のヒーローアカデミア.jpg,1,8,4136.0
63,"Hayate no Gotoku! (Hayate, mayordomo de combate)",5,5.0,https://www.mangazenkan.com/items/10477239/,img/portadas/004_ハヤテのごとく.jpg,1,31,17424.0
64,Ataque de los Titanes,5,4.67,https://www.mangazenkan.com/items/40733/,img/portadas/005_進撃の巨人.jpg,1,2,1100.0
65,Tokyo Ghoul,5,4.38,https://www.mangazenkan.com/items/98012/,img/portadas/006_東京喰種トーキョーグール.jpg,1,12,9262.0
66,March comes in like a lion (3-gatsu no Lion),5,4.6,https://www.mangazenkan.com/items/2571/,img/portadas/007_特典あり3月のライオン.jpg,1,10,4840.0
67,Fullmetal Alchemist,5,4.86,https://www.mangazenkan.com/items/662/,img/portadas/008_鋼の錬金術師.jpg,1,15,8558.0
68,Haikyuu!!,5,4.85,https://www.mangazenkan.com/items/102246/,img/portadas/009_ハイキュー.jpg,1,13,11700.0
69,Tokyo Ghoul:re,5,4.0,https://www.mangazenkan.com/items/10232573/,img/portadas/010_東京喰種トーキョーグールre.jpg,1,14,8316.0
70,Slam Dunk,5,4.89,https://www.mangazenkan.com/items/167/,img/portadas/011_スラムダンクSLAMDUNK.jpg,1,1,1980.0
71,El Caballero del Área (Area no Kishi),5,4.0,https://www.mangazenkan.com/items/10477232/,img/portadas/012_エリアの騎士.jpg,1,4,2112.0
72,Asahinagu,5,4.5,https://www.mangazenkan.com/items/92729/,img/portadas/013_あさひなぐ.jpg,1,34,20864.0
73,Hunter × Hunter,5,4.68,https://www.mangazenkan.com/items/18/,img/portadas/014_HUNTERHUNTER ハンターハンター.jpg,1,19,9196.0
74,Bienvenido al Ballroom (Ballroom e Youkoso),5,4.0,https://www.mangazenkan.com/items/101517/,img/portadas/015_ボールルームへようこそ.jpg,1,4,3201.0
75,One Piece,5,4.8,https://www.mangazenkan.com/items/169/,img/portadas/016_ワンピース ONE PIECE.jpg,1,1,484.0
76,My Hero Academia (Boku no Hero Academia),6,4.63,https://www.mangazenkan.com/items/10221277/,img/portadas/001_僕のヒーローアカデミア.jpg,1,8,4136.0
77,Kingdom,6,4.92,https://www.mangazenkan.com/items/87/,img/portadas/002_キングダム.jpg,1,1,1045.0
78,Hunter × Hunter,6,4.68,https://www.mangazenkan.com/items/18/,img/portadas/004_HUNTERHUNTER ハンターハンター.jpg,1,19,9196.0
79,Golden Kamuy,6,4.64,https://www.mangazenkan.com/items/10236737/,img/portadas/005_ゴールデンカムイ.jpg,1,1,1100.0
80,Banana Fish (Edición conmemorativa BOX),6,4.8,https://www.mangazenkan.com/items/10555131/,img/portadas/006_BANANA FISH バナナフィッシュ 復刻版全巻BOX.jpg,1,1,2860.0
81,The Promised Neverland,6,4.58,https://www.mangazenkan.com/items/10416431/,img/portadas/007_約束のネバーランド.jpg,1,1,484.0
82,Haikyuu!!,6,4.85,https://www.mangazenkan.com/items/102246/,img/portadas/008_ハイキュー.jpg,1,13,11700.0
83,World Trigger,6,4.79,https://www.mangazenkan.com/items/10086768/,img/portadas/009_ワールドトリガー.jpg,1,1,968.0
84,Los Siete Pecados Capitales (Nanatsu no Taizai),6,4.12,https://www.mangazenkan.com/items/10060232/,img/portadas/010_七つの大罪.jpg,1,10,7590.0
85,One Piece,6,4.8,https://www.mangazenkan.com/items/169/,img/portadas/011_ワンピース ONE PIECE.jpg,1,1,484.0
86,¡Desde hoy soy yo! (Kyou kara Ore wa!!),6,4.33,https://www.mangazenkan.com/items/51814/,img/portadas/013_今日から俺は.jpg,1,18,14706.0
87,Cells at Work! (Hataraku Saibou),6,4.25,https://www.mangazenkan.com/items/10278788/,img/portadas/014_はたらく細胞.jpg,1,1,1045.0
88,Tokyo Ghoul:re,6,4.0,https://www.mangazenkan.com/items/10232573/,img/portadas/015_東京喰種トーキョーグールre.jpg,1,14,8316.0
89,Slam Dunk,6,4.89,https://www.mangazenkan.com/items/167/,img/portadas/016_スラムダンクSLAMDUNK.jpg,1,1,1980.0
90,That Time I Got Reincarnated as a Slime,6,4.75,https://www.mangazenkan.com/items/10306467/,img/portadas/017_転生したらスライムだった件.jpg,1,28,21043.0
91,Demon Slayer (Kimetsu no Yaiba),7,4.78,https://www.mangazenkan.com/items/10360560/,img/portadas/001_鬼滅の刃.jpg,1,1,484.0
92,Kingdom,7,4.92,https://www.mangazenkan.com/items/87/,img/portadas/002_キングダム.jpg,1,1,1045.0
