Ranking,Titulo,Autor,Editorial,Precio,Volúmenes,URL,Portada,Año,Tipo,Categoría,Placa,Puntaje
4,進撃の巨人,諫山創,講談社,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/004_進撃の巨人.jpg,2015,Digital,"少年漫画, 漫画",,4.5
5,監獄学園,平本アキラ,講談社,792,1巻,https://www.mangazenkan.com/items/10060163/,img/portadas/005_監獄学園.jpg,2015,Digital,"青年漫画, 漫画",,4.25
6,新宿スワン,和久井健,講談社,792,1巻,https://www.mangazenkan.com/items/10041229/,img/portadas/006_新宿スワン.jpg,2015,Digital,"青年漫画, 漫画",,4.33
7,NARUTO―ナルト― カラー版,岸本斉史,集英社,653,1巻,https://www.mangazenkan.com/items/10043656/,img/portadas/007_NARUTOナルト カラー版.jpg,2015,Digital,"少年漫画, 漫画",,4.57
8,弱虫ペダル,渡辺航,秋田書店,528,1巻,https://www.mangazenkan.com/items/10040907/,img/portadas/008_弱虫ペダル.jpg,2015,Digital,"少年漫画, 漫画",,4.69
9,ダイヤのA,寺嶋裕二,講談社,594,1巻,https://www.mangazenkan.com/items/10040929/,img/portadas/009_ダイヤのA.jpg,2015,Digital,"少年漫画, 漫画",,4.2
10,ベイビーステップ,勝木光,講談社,594,1巻,https://www.mangazenkan.com/items/10041203/,img/portadas/010_ベイビーステップ.jpg,2015,Digital,"少年漫画, 漫画",,5
11,七つの大罪,鈴木央,講談社,594,1巻,https://www.mangazenkan.com/items/10085805/,img/portadas/011_七つの大罪.jpg,2015,Digital,"少年漫画, 漫画",,4.12
12,BLEACH,久保帯人,集英社,459,1巻,https://www.mangazenkan.com/items/10043611/,img/portadas/012_BLEACH.jpg,2015,Digital,"少年漫画, 漫画",,4.47
13,うしおととら,藤田和日郎,小学館,583,1巻,https://www.mangazenkan.com/items/10083144/,img/portadas/013_うしおととら.jpg,2015,Digital,"少年漫画, 漫画",,4.5
14,ONE PIECE カラー版,尾田栄一郎,集英社,518,1巻,https://www.mangazenkan.com/items/10043701/,img/portadas/014_ONE PIECE カラー版.jpg,2015,Digital,"少年漫画, 漫画",,4.8
15,テラフォーマーズ,貴家悠,集英社,731,1巻,https://www.mangazenkan.com/items/10070575/,img/portadas/015_テラフォーマーズ.jpg,2015,Digital,"青年漫画, 漫画",,4.29
1,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,2016,Digital,"青年漫画, 漫画",,4.92
2,ぼのぼの,いがらしみきお,竹書房,990,1巻,https://www.mangazenkan.com/items/10097296/,img/portadas/002_ぼのぼの.jpg,2016,Digital,"青年漫画, 漫画",,4.5
3,ちはやふる,末次由紀,講談社,594,1巻,https://www.mangazenkan.com/items/10041752/,img/portadas/003_ちはやふる.jpg,2016,Digital,"少女漫画, 漫画",,4.56
4,BLEACH,久保帯人,集英社,459,1巻,https://www.mangazenkan.com/items/10043611/,img/portadas/004_BLEACH.jpg,2016,Digital,"少年漫画, 漫画",,4.47
5,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/005_ONE PIECE.jpg,2016,Digital,"少年漫画, 漫画",,4.8
6,テラフォーマーズ,貴家悠,集英社,731,1巻,https://www.mangazenkan.com/items/10070575/,img/portadas/006_テラフォーマーズ.jpg,2016,Digital,"青年漫画, 漫画",,4.29
7,DAYS,安田剛士,講談社,594,1巻,https://www.mangazenkan.com/items/10156840/,img/portadas/007_DAYS.jpg,2016,Digital,"少年漫画, 漫画",,3.5
8,進撃の巨人,諫山創,講談社,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/008_進撃の巨人.jpg,2016,Digital,"少年漫画, 漫画",,4.5
9,ブラックジャックによろしく,佐藤秀峰,佐藤漫画製作所,100,1巻,https://www.mangazenkan.com/items/10077686/,img/portadas/009_ブラックジャックによろしく.jpg,2016,Digital,"青年漫画, 漫画",,4
10,闇金ウシジマくん,真鍋昌平,小学館,693,1巻,https://www.mangazenkan.com/items/10110754/,img/portadas/010_闇金ウシジマくん.jpg,2016,Digital,"青年漫画, 漫画",,4.5
11,GIANT KILLING,ツジトモ,講談社,836,1巻,https://www.mangazenkan.com/items/10041460/,img/portadas/011_GIANT KILLING.jpg,2016,Digital,"青年漫画, 漫画",,4.5
12,監獄学園,平本アキラ,講談社,792,1巻,https://www.mangazenkan.com/items/10060163/,img/portadas/012_監獄学園.jpg,2016,Digital,"青年漫画, 漫画",,4.25
13,七つの大罪,鈴木央,講談社,594,1巻,https://www.mangazenkan.com/items/10085805/,img/portadas/013_七つの大罪.jpg,2016,Digital,"少年漫画, 漫画",,4.12
14,ベルセルク,三浦建太郎,白泉社,715,1巻,https://www.mangazenkan.com/items/10046068/,img/portadas/014_ベルセルク.jpg,2016,Digital,"青年漫画, 漫画",,4.86
15,HUNTER×HUNTER,冨樫義博,集英社,459,1巻,https://www.mangazenkan.com/items/10051608/,img/portadas/015_HUNTERHUNTER.jpg,2016,Digital,"少年漫画, 漫画",,4.68
1,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,2017,Digital,"青年漫画, 漫画",,4.92
2,進撃の巨人,諫山創,講談社,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/002_進撃の巨人.jpg,2017,Digital,"少年漫画, 漫画",,4.5
3,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/003_ONE PIECE.jpg,2017,Digital,"少年漫画, 漫画",,4.8
4,FAIRY TAIL,真島ヒロ,講談社,594,1巻,https://www.mangazenkan.com/items/10041202/,img/portadas/004_FAIRY TAIL.jpg,2017,Digital,"少年漫画, 漫画",,4.42
5,七つの大罪,鈴木央,講談社,594,1巻,https://www.mangazenkan.com/items/10085805/,img/portadas/005_七つの大罪.jpg,2017,Digital,"少年漫画, 漫画",,4.12
6,僕のヒーローアカデミア,堀越耕平,集英社,459,1巻,https://www.mangazenkan.com/items/10234462/,img/portadas/006_僕のヒーローアカデミア.jpg,2017,Digital,"少年漫画, 漫画",,4.63
7,東京喰種トーキョーグール:re,石田スイ,集英社,564,1巻,https://www.mangazenkan.com/items/10251433/,img/portadas/007_東京喰種トーキョーグールre.jpg,2017,Digital,"青年漫画, 漫画",,4
8,NARUTO―ナルト―,岸本斉史,集英社,543,1巻,https://www.mangazenkan.com/items/10043621/,img/portadas/008_NARUTOナルト.jpg,2017,Digital,"少年漫画, 漫画",,4.57
9,鋼の錬金術師,荒川弘,スクウェア・エニックス,589,1巻,https://www.mangazenkan.com/items/10041118/,img/portadas/009_鋼の錬金術師.jpg,2017,Digital,"少年漫画, 漫画",,4.86
10,HUNTER×HUNTER,冨樫義博,集英社,459,1巻,https://www.mangazenkan.com/items/10051608/,img/portadas/010_HUNTERHUNTER.jpg,2017,Digital,"少年漫画, 漫画",,4.68
11,弱虫ペダル,渡辺航,秋田書店,528,1巻,https://www.mangazenkan.com/items/10040907/,img/portadas/011_弱虫ペダル.jpg,2017,Digital,"少年漫画, 漫画",,4.69
12,名探偵コナン,青山剛昌,小学館,583,1巻,https://www.mangazenkan.com/items/10083097/,img/portadas/012_名探偵コナン.jpg,2017,Digital,"少年漫画, 漫画",,5
13,ベイビーステップ,勝木光,講談社,594,1巻,https://www.mangazenkan.com/items/10041203/,img/portadas/013_ベイビーステップ.jpg,2017,Digital,"少年漫画, 漫画",,5
14,闇金ウシジマくん,真鍋昌平,小学館,693,1巻,https://www.mangazenkan.com/items/10110754/,img/portadas/014_闇金ウシジマくん.jpg,2017,Digital,"青年漫画, 漫画",,4.5
15,ハイキュー!!,古舘春一,集英社,459,1巻,https://www.mangazenkan.com/items/10043738/,img/portadas/015_ハイキュー.jpg,2017,Digital,"少年漫画, 漫画",,4.85
1,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,2018,Digital,"青年漫画, 漫画",,4.92
2,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/002_ONE PIECE.jpg,2018,Digital,"少年漫画, 漫画",,4.8
3,HUNTER×HUNTER,冨樫義博,集英社,459,1巻,https://www.mangazenkan.com/items/10051608/,img/portadas/003_HUNTERHUNTER.jpg,2018,Digital,"少年漫画, 漫画",,4.68
4,進撃の巨人,諫山創,講談社,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/004_進撃の巨人.jpg,2018,Digital,"少年漫画, 漫画",,4.5
5,七つの大罪,鈴木央,講談社,594,1巻,https://www.mangazenkan.com/items/10085805/,img/portadas/005_七つの大罪.jpg,2018,Digital,"少年漫画, 漫画",,4.12
6,僕のヒーローアカデミア,堀越耕平,集英社,459,1巻,https://www.mangazenkan.com/items/10234462/,img/portadas/006_僕のヒーローアカデミア.jpg,2018,Digital,"少年漫画, 漫画",,4.63
7,今日から俺は!!,西森博之,小学館,0,1巻,https://www.mangazenkan.com/items/10197536/,img/portadas/007_今日から俺は.jpg,2018,Digital,"少年漫画, 漫画",,4.33
8,転生したらスライムだった件,川上泰樹,講談社,792,1巻,https://www.mangazenkan.com/items/10357699/,img/portadas/008_転生したらスライムだった件.jpg,2018,Digital,"少年漫画, 漫画",,
9,ゴールデンカムイ,野田サトル,集英社,564,1巻,https://www.mangazenkan.com/items/10251416/,img/portadas/009_ゴールデンカムイ.jpg,2018,Digital,"青年漫画, 漫画",,4.64
10,銀魂,空知英秋,集英社,459,1巻,https://www.mangazenkan.com/items/10043622/,img/portadas/010_銀魂.jpg,2018,Digital,"少年漫画, 漫画",,4.53
11,BLEACH,久保帯人,集英社,459,1巻,https://www.mangazenkan.com/items/10043611/,img/portadas/011_BLEACH.jpg,2018,Digital,"少年漫画, 漫画",,4.47
12,ちはやふる,末次由紀,講談社,594,1巻,https://www.mangazenkan.com/items/10041752/,img/portadas/012_ちはやふる.jpg,2018,Digital,"少女漫画, 漫画",,4.56
13,ハイキュー!!,古舘春一,集英社,459,1巻,https://www.mangazenkan.com/items/10043738/,img/portadas/013_ハイキュー.jpg,2018,Digital,"少年漫画, 漫画",,4.85
14,GIANT KILLING,ツジトモ,講談社,836,1巻,https://www.mangazenkan.com/items/10041460/,img/portadas/014_GIANT KILLING.jpg,2018,Digital,"青年漫画, 漫画",,4.5
15,東京喰種トーキョーグール:re,石田スイ,集英社,564,1巻,https://www.mangazenkan.com/items/10251433/,img/portadas/015_東京喰種トーキョーグールre.jpg,2018,Digital,"青年漫画, 漫画",,4
1,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,2019,Digital,"青年漫画, 漫画",,4.92
2,鬼滅の刃,吾峠呼世晴,集英社,459,1巻,https://www.mangazenkan.com/items/10380756/,img/portadas/002_鬼滅の刃.jpg,2019,Digital,"少年漫画, 漫画",,4.78
3,進撃の巨人,諫山創,講談社,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/003_進撃の巨人.jpg,2019,Digital,"少年漫画, 漫画",,4.5
4,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/004_ONE PIECE.jpg,2019,Digital,"少年漫画, 漫画",,4.8
5,ザ・ファブル,南勝久,講談社,869,1巻,https://www.mangazenkan.com/items/10277933/,img/portadas/005_ザファブル.jpg,2019,Digital,"青年漫画, 漫画",,4.67
6,炎炎ノ消防隊,大久保篤,講談社,594,1巻,https://www.mangazenkan.com/items/10348528/,img/portadas/006_炎炎ノ消防隊.jpg,2019,Digital,"少年漫画, 漫画",,4.78
7,約束のネバーランド,白井カイウ,集英社,459,1巻,https://www.mangazenkan.com/items/10434302/,img/portadas/007_約束のネバーランド.jpg,2019,Digital,"少年漫画, 漫画",,4.58
8,ドメスティックな彼女,流石景,講談社,594,1巻,https://www.mangazenkan.com/items/10211732/,img/portadas/008_ドメスティックな彼女.jpg,2019,Digital,"少年漫画, 漫画",,4.22
9,五等分の花嫁,春場ねぎ,講談社,594,1巻,https://www.mangazenkan.com/items/10530555/,img/portadas/009_五等分の花嫁.jpg,2019,Digital,"少年漫画, 漫画",,4.67
10,ワンパンマン,ONE,集英社,459,1巻,https://www.mangazenkan.com/items/10360813/,img/portadas/010_ワンパンマン.jpg,2019,Digital,"少年漫画, 漫画",,4.43
11,七つの大罪,鈴木央,講談社,594,1巻,https://www.mangazenkan.com/items/10085805/,img/portadas/011_七つの大罪.jpg,2019,Digital,"少年漫画, 漫画",,4.12
12,僕のヒーローアカデミア,堀越耕平,集英社,459,1巻,https://www.mangazenkan.com/items/10234462/,img/portadas/012_僕のヒーローアカデミア.jpg,2019,Digital,"少年漫画, 漫画",,4.63
13,ハイキュー!!,古舘春一,集英社,459,1巻,https://www.mangazenkan.com/items/10043738/,img/portadas/013_ハイキュー.jpg,2019,Digital,"少年漫画, 漫画",,4.85
14,宇宙兄弟,小山宙哉,講談社,836,1巻,https://www.mangazenkan.com/items/10040854/,img/portadas/014_宇宙兄弟.jpg,2019,Digital,"青年漫画, 漫画",,4.45
15,転生したらスライムだった件,川上泰樹,講談社,792,1巻,https://www.mangazenkan.com/items/10357699/,img/portadas/015_転生したらスライムだった件.jpg,2019,Digital,"少年漫画, 漫画",,
1,鬼滅の刃,吾峠呼世晴,集英社,459,1巻,https://www.mangazenkan.com/items/10380756/,img/portadas/001_鬼滅の刃.jpg,2020,Digital,"少年漫画, 漫画",,4.78
2,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/002_キングダム.jpg,2020,Digital,"青年漫画, 漫画",,4.92
3,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/003_ONE PIECE.jpg,2020,Digital,"少年漫画, 漫画",,4.8
4,ハイキュー!!,古舘春一,集英社,459,1巻,https://www.mangazenkan.com/items/10043738/,img/portadas/004_ハイキュー.jpg,2020,Digital,"少年漫画, 漫画",,4.85
5,進撃の巨人,諫山創,講談社,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/005_進撃の巨人.jpg,2020,Digital,"少年漫画, 漫画",,4.5
6,約束のネバーランド,白井カイウ,集英社,459,1巻,https://www.mangazenkan.com/items/10434302/,img/portadas/006_約束のネバーランド.jpg,2020,Digital,"少年漫画, 漫画",,4.58
7,僕のヒーローアカデミア,堀越耕平,集英社,459,1巻,https://www.mangazenkan.com/items/10234462/,img/portadas/007_僕のヒーローアカデミア.jpg,2020,Digital,"少年漫画, 漫画",,4.63
8,呪術廻戦,芥見下々,集英社,459,1巻,https://www.mangazenkan.com/items/10614996/,img/portadas/008_呪術廻戦.jpg,2020,Digital,"少年漫画, 漫画",,4.82
9,炎炎ノ消防隊,大久保篤,講談社,594,1巻,https://www.mangazenkan.com/items/10348528/,img/portadas/009_炎炎ノ消防隊.jpg,2020,Digital,"少年漫画, 漫画",,4.78
10,BLEACH,久保帯人,集英社,459,1巻,https://www.mangazenkan.com/items/10043611/,img/portadas/010_BLEACH.jpg,2020,Digital,"少年漫画, 漫画",,4.47
11,ザ・ファブル,南勝久,講談社,869,1巻,https://www.mangazenkan.com/items/10277933/,img/portadas/011_ザファブル.jpg,2020,Digital,"青年漫画, 漫画",,4.67
12,七つの大罪,鈴木央,講談社,594,1巻,https://www.mangazenkan.com/items/10085805/,img/portadas/012_七つの大罪.jpg,2020,Digital,"少年漫画, 漫画",,4.12
13,弱虫ペダル,渡辺航,秋田書店,528,1巻,https://www.mangazenkan.com/items/10040907/,img/portadas/013_弱虫ペダル.jpg,2020,Digital,"少年漫画, 漫画",,4.69
14,DAYS,安田剛士,講談社,594,1巻,https://www.mangazenkan.com/items/10156840/,img/portadas/014_DAYS.jpg,2020,Digital,"少年漫画, 漫画",,3.5
15,アオアシ,小林有吾,小学館,759,1巻,https://www.mangazenkan.com/items/10290942/,img/portadas/015_アオアシ.jpg,2020,Digital,"青年漫画, 漫画",,4.6
1,呪術廻戦,芥見下々,集英社,459,1巻,https://www.mangazenkan.com/items/10614996/,img/portadas/001_呪術廻戦.jpg,2021,Digital,"少年漫画, 漫画",,4.82
2,東京卍リベンジャーズ,和久井健,講談社,594,1巻,https://www.mangazenkan.com/items/10484627/,img/portadas/002_東京卍リベンジャーズ.jpg,2021,Digital,"少年漫画, 漫画",,4.75
3,鬼滅の刃,吾峠呼世晴,集英社,459,1巻,https://www.mangazenkan.com/items/10380756/,img/portadas/003_鬼滅の刃.jpg,2021,Digital,"少年漫画, 漫画",,4.78
4,葬送のフリーレン,山田鐘人,小学館,583,1巻,https://www.mangazenkan.com/items/10941937/,img/portadas/004_葬送のフリーレン.jpg,2021,Digital,"少年漫画, 漫画",,5
