Ranking,Titulo,Autor,Editorial,Precio,Volúmenes,URL,Portada,Año,Tipo,Categoría,Placa,Puntaje
10,チェンソーマン,藤本タツキ,集英社,459,1巻,https://www.mangazenkan.com/items/10702082/,img/portadas/010_チェンソーマン.jpg,2022,Digital,"少年漫画, 漫画",,4.58
11,ONE PIECE カラー版,尾田栄一郎,集英社,518,1巻,https://www.mangazenkan.com/items/10043701/,img/portadas/011_ONE PIECE カラー版.jpg,2022,Digital,"少年漫画, 漫画",,4.8
12,ハイキュー!!,古舘春一,集英社,459,1巻,https://www.mangazenkan.com/items/10043738/,img/portadas/012_ハイキュー.jpg,2022,Digital,"少年漫画, 漫画",,4.85
13,HUNTER×HUNTER,冨樫義博,集英社,459,1巻,https://www.mangazenkan.com/items/10051608/,img/portadas/013_HUNTERHUNTER.jpg,2022,Digital,"少年漫画, 漫画",,4.68
14,ワンパンマン,ONE,集英社,459,1巻,https://www.mangazenkan.com/items/10360813/,img/portadas/014_ワンパンマン.jpg,2022,Digital,"少年漫画, 漫画",,4.43
15,はじめの一歩,森川ジョージ,講談社,594,1巻,https://www.mangazenkan.com/items/10041765/,img/portadas/015_はじめの一歩.jpg,2022,Digital,"少年漫画, 漫画",,4.8
1,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,2023,Digital,"青年漫画, 漫画",,4.92
2,呪術廻戦,芥見下々,集英社,459,1巻,https://www.mangazenkan.com/items/10614996/,img/portadas/002_呪術廻戦.jpg,2023,Digital,"少年漫画, 漫画",,4.82
3,ブルーロック,金城宗幸,講談社,594,1巻,https://www.mangazenkan.com/items/10662217/,img/portadas/003_ブルーロック.jpg,2023,Digital,"少年漫画, 漫画",,5
4,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/004_ONE PIECE.jpg,2023,Digital,"少年漫画, 漫画",,4.8
5,【推しの子】,赤坂アカ×横槍メンゴ,集英社,658,1巻,https://www.mangazenkan.com/items/10941925/,img/portadas/005_推しの子.jpg,2023,Digital,"青年漫画, 漫画",,
6,僕のヒーローアカデミア,堀越耕平,集英社,459,1巻,https://www.mangazenkan.com/items/10234462/,img/portadas/006_僕のヒーローアカデミア.jpg,2023,Digital,"少年漫画, 漫画",,4.63
7,東京卍リベンジャーズ,和久井健,講談社,594,1巻,https://www.mangazenkan.com/items/10484627/,img/portadas/007_東京卍リベンジャーズ.jpg,2023,Digital,"少年漫画, 漫画",,4.75
8,葬送のフリーレン,山田鐘人,小学館,583,1巻,https://www.mangazenkan.com/items/10941937/,img/portadas/008_葬送のフリーレン.jpg,2023,Digital,"少年漫画, 漫画",,5
9,チェンソーマン,藤本タツキ,集英社,459,1巻,https://www.mangazenkan.com/items/10702082/,img/portadas/009_チェンソーマン.jpg,2023,Digital,"少年漫画, 漫画",,4.58
10,はじめの一歩,森川ジョージ,講談社,594,1巻,https://www.mangazenkan.com/items/10041765/,img/portadas/010_はじめの一歩.jpg,2023,Digital,"少年漫画, 漫画",,4.8
11,ザ・ファブル The second contact,南勝久,講談社,792,1巻,https://www.mangazenkan.com/items/11234225/,img/portadas/011_ザファブル The second contact.jpg,2023,Digital,"青年漫画, 漫画",,4
12,薬屋のひとりごと,日向夏（ヒーロー文庫／イマジカインフォス）,スクウェア・エニックス,770,1巻,https://www.mangazenkan.com/items/10551056/,img/portadas/012_薬屋のひとりごと.jpg,2023,Digital,"少女漫画, 漫画",,4
13,アオアシ,小林有吾,小学館,759,1巻,https://www.mangazenkan.com/items/10290942/,img/portadas/013_アオアシ.jpg,2023,Digital,"青年漫画, 漫画",,4.6
14,転生したらスライムだった件,川上泰樹,講談社,792,1巻,https://www.mangazenkan.com/items/10357699/,img/portadas/014_転生したらスライムだった件.jpg,2023,Digital,"少年漫画, 漫画",,
15,地獄楽,賀来ゆうじ,集英社,459,1巻,https://www.mangazenkan.com/items/10583632/,img/portadas/015_地獄楽.jpg,2023,Digital,"少年漫画, 漫画",,4
1,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,2024,Digital,"青年漫画, 漫画",,4.92
2,呪術廻戦,芥見下々,集英社,459,1巻,https://www.mangazenkan.com/items/10614996/,img/portadas/002_呪術廻戦.jpg,2024,Digital,"少年漫画, 漫画",,4.82
3,僕のヒーローアカデミア,堀越耕平,集英社,459,1巻,https://www.mangazenkan.com/items/10234462/,img/portadas/003_僕のヒーローアカデミア.jpg,2024,Digital,"少年漫画, 漫画",,4.63
4,ハイキュー!!,古舘春一,集英社,459,1巻,https://www.mangazenkan.com/items/10043738/,img/portadas/004_ハイキュー.jpg,2024,Digital,"少年漫画, 漫画",,4.85
5,ブルーロック,金城宗幸,講談社,594,1巻,https://www.mangazenkan.com/items/10662217/,img/portadas/005_ブルーロック.jpg,2024,Digital,"少年漫画, 漫画",,5
6,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/006_ONE PIECE.jpg,2024,Digital,"少年漫画, 漫画",,4.8
7,転生したらスライムだった件,川上泰樹,講談社,792,1巻,https://www.mangazenkan.com/items/10357699/,img/portadas/007_転生したらスライムだった件.jpg,2024,Digital,"少年漫画, 漫画",,
8,怪獣8号,松本直也,集英社,501,1巻,https://www.mangazenkan.com/items/11013317/,img/portadas/008_怪獣8号.jpg,2024,Digital,"少年漫画, 漫画",,
9,葬送のフリーレン,山田鐘人,小学館,583,1巻,https://www.mangazenkan.com/items/10941937/,img/portadas/009_葬送のフリーレン.jpg,2024,Digital,"少年漫画, 漫画",,5
10,ダンダダン,龍幸伸,集英社,501,1巻,https://www.mangazenkan.com/items/11146830/,img/portadas/010_ダンダダン.jpg,2024,Digital,"少年漫画, 漫画",,
11,マッシュル-MASHLE-,甲本一,集英社,459,1巻,https://www.mangazenkan.com/items/10905476/,img/portadas/011_マッシュルMASHLE.jpg,2024,Digital,"少年漫画, 漫画",,5
12,アオアシ,小林有吾,小学館,759,1巻,https://www.mangazenkan.com/items/10290942/,img/portadas/012_アオアシ.jpg,2024,Digital,"青年漫画, 漫画",,4.6
13,俺だけレベルアップな件,DUBU(REDICE STUDIO),Piccomics,1012,1巻,https://www.mangazenkan.com/items/10838992/,img/portadas/013_俺だけレベルアップな件.jpg,2024,Digital,"少年漫画, 漫画",,5
14,ゴールデンカムイ,野田サトル,集英社,564,1巻,https://www.mangazenkan.com/items/10251416/,img/portadas/014_ゴールデンカムイ.jpg,2024,Digital,"青年漫画, 漫画",,4.64
15,はじめの一歩,森川ジョージ,講談社,594,1巻,https://www.mangazenkan.com/items/10041765/,img/portadas/015_はじめの一歩.jpg,2024,Digital,"少年漫画, 漫画",,4.8
